x,sin,cos,log,trig
0.0,0.0,1.0,0.0,0.0
0.010005002501250625,0.010004835585169168,0.9999499503799746,0.009955283812437389,0.0
0.02001000500250125,0.020008669693899427,0.9997998065298275,0.019812436074055025,0.0
0.030015007503751877,0.030010500949998905,0.9995495834788438,0.029573372527389473,0.0
0.0400200100050025,0.04000932817775974,0.9991993062741609,0.039239953357612906,0.0
0.05002501250625312,0.05000415050217504,0.9987490099782607,0.04881398532023293,0.0
0.060030015007503754,0.0599939674491257,0.9981987396654602,0.05829722376789897,0.0
0.07003501750875438,0.06997777904552707,0.9975485504173996,0.06769137458200548,0.0
0.080040020010005,0.07995458591942553,0.9967985073175286,0.07699809601440738,0.0
0.09004502251125562,0.0899233894000349,0.9959486854445914,0.08621900044421986,0.0
0.10005002501250625,0.09988319161770254,0.9949991698651116,0.09535565605436112,0.0
0.11005502751375687,0.1098329956037954,0.9939500556248773,0.10440958843219382,0.0
0.12006003001500751,0.11977180539049584,0.9928014477394265,0.11338228209835469,0.0
0.13006503251625812,0.12969862611049715,0.9915534611835357,0.12227518196760329,0.0
0.14007003501750875,0.13961246409658923,0.9902062208797108,0.13108969474528423,0.0
0.15007503751875936,0.14951232698112357,0.9887598616856823,0.13982719026278148,0.0
0.16008004002001,0.15939722379534893,0.9872145283809064,0.14848900275513155,0.0
0.17008504252126064,0.16926616506860617,0.9855703756520725,0.1570764320837789,0.0
0.18009004502251125,0.17911816292737373,0.9838275680776194,0.16559074490727504,0.0
0.19009504752376188,0.188952231194153,0.9819862801112607,0.17403317580255767,0.0
0.2001000500250125,0.1987673854861838,0.9800466960645227,0.18240492833929453,0.0
0.21010505252626313,0.2085626433139806,0.9780090100882943,0.19070717610962717,0.0
0.22011005502751374,0.21833702417967868,0.9758734261533933,0.19894106371552017,0.0
0.23011505752876438,0.22808954967518144,0.9736401580301487,0.2071077077157926,0.0
0.24012006003001501,0.23781924358009823,0.9713094292670024,0.21520819753479048,0.0
0.25012506253126565,0.24752513195946318,0.9688814731681323,0.22324359633455235,0.0
0.26013006503251623,0.2572062432612255,0.9663565327700989,0.23121494185221012,0.0
